index,roll,pitch,yaw,accx,accy,accz,gyrox,gyroy,gyroz
257,27.3578,1.25481,-72.9118,-0.60885,4.1521,8.62281,-1.61872,0.10963,-0.152048
258,26.3754,1.36364,-72.9601,-0.65373,4.22301,8.22876,-1.77531,0.0627581,-0.147787
259,25.216,1.39376,-73.0501,-0.536771,3.96206,8.75097,-1.85841,-0.157752,-0.145656
260,24.1502,1.30136,-73.1841,-0.311206,3.95078,8.77165,-1.81899,-0.323933,-0.152048
261,23.2315,1.16299,-73.3338,-0.212948,3.94777,9.04048,-1.74336,-0.378261,-0.157374
262,22.152,0.979979,-73.509,0.120134,3.87704,9.6249,-1.6837,-0.33139,-0.128612
263,21.1923,0.844659,-73.6415,0.0846029,3.87104,9.92801,-1.6592,-0.233385,-0.115829
264,20.2423,0.772041,-73.7375,0.221607,3.59441,9.90606,-1.64003,-0.0927705,-0.10198
265,19.3009,0.767225,-73.8035,0.230079,3.28747,9.90542,-1.61659,0.0435833,-0.104111
266,18.2803,0.840643,-73.8534,0.294171,3.11537,9.79999,-1.59742,0.187394,-0.107307
