index,roll,pitch,yaw,accx,accy,accz,gyrox,gyroy,gyroz
220,-9.1475,12.3545,-158.434,-2.1436,-1.58067,9.74544,-0.00804149,0.00629906,0.00454602
221,-9.14739,12.3556,-158.434,-2.22531,-1.61272,9.79696,-0.00058464,-0.00967991,-0.00823715
222,-9.14811,12.3555,-158.435,-2.196,-1.56822,9.777,0.00261115,-0.00541885,-0.000780302
223,-9.14811,12.3547,-158.435,-2.14213,-1.60094,9.79058,-0.00271517,-0.00648412,-0.000780302
224,-9.15044,12.3542,-158.435,-2.18735,-1.61212,9.78743,-0.00271517,0.00949485,0.00241549
225,-9.15178,12.3535,-158.435,-2.15292,-1.61128,9.75801,0.000480625,0.000972733,-0.000780302
226,-9.15381,12.3541,-158.434,-2.16169,-1.57474,9.76565,-0.00378043,0.00736432,-0.000780302
227,-9.15404,12.3541,-158.435,-2.17616,-1.58327,9.75488,-0.00697623,0.000972733,-0.00823715
228,-9.15376,12.3556,-158.436,-2.16141,-1.53846,9.76592,0.00580695,-0.0011578,0.00454602
229,-9.15342,12.3559,-158.436,-2.13126,-1.62278,9.73771,0.00154589,-0.0011578,0.000284962
230,-9.1531,12.3554,-158.436,-2.23163,-1.51252,9.76337,-0.00378043,0.00736432,0.00561128
231,-9.15275,12.3544,-158.436,-2.09854,-1.5787,9.77208,0.00154589,-0.0011578,-0.0039761
232,-9.15187,12.3542,-158.436,-2.18267,-1.48154,9.77206,0.00474168,0.00310326,0.00454602
233,-9.15319,12.3551,-158.435,-2.10936,-1.56934,9.78498,0.00474168,0.00310326,0.000284962
234,-9.15255,12.3541,-158.435,-2.11469,-1.58519,9.73235,0.00154589,0.0116254,0.00454602
235,-9.15103,12.3517,-158.434,-2.14854,-1.52957,9.72232,-0.0016499,-0.00648412,0.00135023
236,-9.15009,12.3517,-158.434,-2.17099,-1.61609,9.75276,-0.00378043,-0.00541885,0.00241549
237,-9.15014,12.3525,-158.433,-2.17606,-1.55621,9.78228,-0.0048457,0.002038,0.00135023
238,-9.14931,12.3526,-158.433,-2.18365,-1.61929,9.75108,0.00367642,-0.00328832,-0.000780302
239,-9.14829,12.3529,-158.433,-2.19041,-1.53048,9.80803,0.00261115,0.002038,0.00135023
240,-9.14765,12.3521,-158.433,-2.20125,-1.54628,9.77904,0.00474168,-0.00541885,-0.000780302
241,-9.14776,12.353,-158.433,-2.22325,-1.58729,9.78082,-0.00378043,-0.00435359,0.00135023
242,-9.14756,12.352,-158.432,-2.14679,-1.52612,9.74408,-0.00697623,0.002038,-0.00291083
243,-9.14717,12.3524,-158.433,-2.22489,-1.58341,9.74643,-0.00058464,-0.0011578,0.00348076
244,-9.1471,12.3524,-158.433,-2.19778,-1.56634,9.77522,-0.00058464,-0.00435359,0.00135023
245,-9.14704,12.353,-158.434,-2.17989,-1.61382,9.72388,0.00367642,0.000972733,0.00241549
246,-9.14666,12.3522,-158.434,-2.15449,-1.55708,9.80738,0.00154589,-0.0011578,-0.00184557
247,-9.14716,12.3527,-158.434,-2.18507,-1.57023,9.74784,-0.00378043,-0.00648412,0.00348076
248,-9.14681,12.3528,-158.434,-2.13451,-1.55935,9.77086,-0.0016499,-0.00541885,0.000284962
249,-9.14753,12.3534,-158.435,-2.17967,-1.55789,9.77869,-0.0016499,0.00842958,0.00348076
250,-9.14875,12.3553,-158.435,-2.16911,-1.59272,9.7801,0.00367642,0.00949485,0.000284962
251,-9.14739,12.354,-158.434,-2.14722,-1.54648,9.81462,-0.00271517,0.002038,0.00454602
252,-9.14747,12.3541,-158.434,-2.18149,-1.55964,9.7787,-0.0048457,-0.00435359,0.00135023
253,-9.14684,12.3544,-158.434,-2.17959,-1.5488,9.77513,0.00154589,0.00310326,0.00135023
254,-9.14883,12.3541,-158.434,-2.11691,-1.64672,9.7156,-0.00058464,0.00310326,-0.00504136
